=============PAGESTART=1,PAGEEND=10
【阿肥】	a33 bui53	胖子〈谑〉▷～伯|～奶|～姐|～嫂|～弟。
【山猴】	sang55 gau53	对山里人的蔑称。
【山猴掎角缝】	sang44gau53gieleoyk5poung213	深山老林中,偏远的山林中▷伊屈～𠲥汝去{底呢,底所}讨(他躲在深山老林中你上哪儿去)?也说[山头角陆缝]sang44tau53ge21leoyk5poung213
【山骹】	sang55 ka55	山脚
【山窟】	sang53 koouk24	山洞
【山陇】	sang44neoyng	山沟深处
【山东数⿰显攵】	sang21neoung53ngang242	①对山东人的贬称。②泛指大个子的北方大〈贬〉。
【山顶】	sang53 ning33	山上▷去～讨柴(去山上打柴)。
【生】	sang55	①生育▷～囝（生孩子)|猪母～猪囝(母猪生小猪)。②长,长出▷～痱（长痱子)|～⿸疒放(长疖子)|～蛾(长喉疮)|～肉柱(长粉刺)。③成了,像▷快势会～{总款,这样款}式(怎么成了这个样子)|～{总款,这样款}式蒋样做(像这样要怎么办)
【生发】	sang53 buok24	患各种皮肤病,如痱子,丘疹,脓疮等的总称心有～无能耐食鱼臊(患皮肤病不可吃鱼腥类食物
【生囝】	sang53 giang33	生孩子,娩▷～⿰{𫧃,儥}食生冷其乇（分娩不能吃生冷的东西）。
【生份】	sang53ngoug242	陌生▷惊～(怕生)|～其地方(陌生的地方)。
【生份面】	sang21ngung53mcing213	陌生的面孔。
【生份侬】	sang21 ngung55 neoyng53	陌生人。
【生花】	sang55 hua55	（眼睛)花了,视力模糊了▷者字野嫩,看我目睭～去(这字太小,看得我眼睛花了)。
【生得好】	sang21 nik24 ho33	漂亮,好看▷只块布野～(这块布料真好看)|伊有两隻诸侬囝都真～(她有两女儿都长得很漂亮
【生得呆】	sang21 nik21 ngai53	①丑,长得难看▷只隻侬野～(这个人真丑)。②(眼睛）不老实▷目睭～(眼睛不老实，专往不该瞧的地方瞧)
【生殕】	sang53 pu21	发霉长毛。也说[生殕发毛]。
【生殕发毛】	sang53 pu33 buok21 mo53	同[生殕]
【晴】	sang53	雨停天晴▷明旦若～就出车(明天如果雨停了就出车)。
【散斗】	sang53 dau33	(器物)散架,坏了▷只架骹踏车去了(这辆自行车散架了)。
【散舒】	sang53 ia33	不受管束随意游荡▷伲囝哥着框紧，伓嗵乞伊七处～(孩子得严加管束,不能让他四处游荡)。
【静】	sang242	停止哭泣▷快～去,依妈来了(快别哭了,奶奶来了)|蜀哺啼⿰{𫧃,儥}～(一夜哭个不停)
【嗽】	sau213	咳嗽。
【嗽咳咳】	sau21 kuk33 kuk5	不停地咳嗽。
【嗽药】	sau55 yok5	治咳嗽的药物▷枇杷露是～(枇杷露是治咳嗽的药)。
【繏】	sooung213	①紧紧箍住▷饭票蜀匼蜀匼使牛筋～𠲥(饭票一沓一沓的用橡皮筋扎着)。②绞杀▷～死去(绞死了)。
【西】	se55	喉咙受到异味刺激面产生的难受感觉▷秫⿸广婴恰府去,食嘴会～𠲥（糯米搁久了吃起来有刺激性的异昧)。
【西势】	se53 lie213	西面,西边。
【洗水】	se24 jui33	①游泳▷伊去～(他去游泳)②到河里洗澡。
【洗洗白】	se21 le21 wak5	空荡荡(专指市场)▷早起头恰迟去买菜,市场～(今早太迟去买菜,菜市场空荡荡地没东西了)
=============PAGE=260
【洗身】	se21 ling55	洗澡。
【洗汤】	se21 loung55	①洗澡。②特指洗热水澡。
【洗汤房】	se21 oung55 mung53	洗澡间,浴室。
【洗面】	se55 meing213	洗脸
【洗面汤】	se21 ming55 noung55	洗脸的热水。
【洗米⿰氵䊩】	se21 mi21 wung55	泔水(洗米水)。
【洗牙】	se24 ngai33	刷牙。
【细底】	se53 de33	底细。
【细姨】	se55 i53	小姨子,即妻子的妹妹▷～过厝〈熟〉（生米已成熟饭)。
【细囝】	se53 iang33	①最小的儿子。②婴儿。
【细舅】	sei53 iu242	内弟,即妻子的弟弟。
【细叔】	se53jeoyk23	小叔子,即丈夫的弟弟
【细组】	se53 jia33	姨太太,也说[细婆]
【细细弟】	se21 le53 lie242	①最小的弟弟。②婴儿▷～𠲥啼猫（婴儿在哭)。
【细婶】	se53 ling33	①丈夫的弟媳。②最小的婶子。
【细作】	se53 looh24	细木活儿，主要指制作家具的木工活儿▷伊兄弟哥都是做木其,依哥做大木,依弟做～(他兄弟俩都是木匠,哥哥是盖房子的木匠,弟弟是做家具的工匠)。
【细嫩】	se53 nooung242	细小,小个心伊{汉码,汉马}～(她个子
【细腻】	se53 nei242	①客气▷莫～,都是自家侬(莫客气,都是自己人)。②小心谨慎▷马⿰土择音车真⿰亻西,过马⿰土择音着～(马路上车很多,过马路要小心)。
【细侬】	se55 neoyng53	家庭中的晚辈。
【细雅】	se53 nga33	如五岁的孩子般幼稚〈贬〉▷伊真～,六年级了{固,故}真爱做办办(她很幼稚,读六年级了还很爱玩过家家)
【细眈】	se33 nge53	①啰嗦▷者侬也～伓通共伊交家(这个人太啰嗦,别跟他交往〉。②小心眼▷伊逢乇都计较野～(她什么都计较,真小心眼)。
【细腻侬】	se55 ni55 neoyng53	性格非常拘谨的人
【细哥】	seo4	小男孩,泛指婴儿,幼儿▷肉丸囝乞！食真好(肉末丸子给小孩子吃挺好)。
【细姑】	se55 u55	小姑子,丈夫的妹妹。也说[小姑] sie21u44。
=============PAGESTART=262,PAGEEND=270
【细姑精】	se21 u55 ziang55	指泼辣厉害的小姑＜贬＞。
【细绒】	se55 yng53	细毛线。
【细婆】	se55 wo53	妾，小老婆。
【细半半】	se21 wuang53 muang213	一小半，较少的那一半。
【细半日】	se21 wuang55 nik5	①老半天▷等汝～了，乍摆出来（等你老半天才走出来）。②小半天，与“大半日”相对而言。
【価喙】	se53 jui213	多嘴多舌▷莫～（别多嘴）。
【価事】	se53 lai242	①多病多灾▷伲囝恰娇就真～（小孩儿太娇养就多病多灾）。②多事故▷今年运呆真～（今年运气不好多事故）。
【価轮】	se55 lung53	多次。
【価话】	se53 ua242	①多嘴多舌▷嚽共伊毛干过，伊野～（这事跟他无关，他偏多嘴）。②话多▷伊野～蜀日讲完（他话真多，整天讲不完）。
【価话婆】	se21 ua55 wo53	多嘴婆，长舌妇。
【塞】	seik24	①堵塞▷沟{墿,路}～去（下水道堵塞住）|车～去（车堵塞了）②噎▷饭食～去（吃饭噎住了）。
【色气】	seik5 kei213	颜色▷只包包大嫩正好，～也无呆（这个包大小正合适，颜色也不错）
【虱母】	seik24 mo33	虱子。
【虱母卵】	seik21 mo55 looung242	虱子的卵。
【十】	seik5	（副）绝对可以，有绝对把握地（用于动词前，不单说）▷～食（绝对可吃的）|～做（绝对可做的）|价钱{只,这}{般,满}好，～卖其了（价钱这么好，绝对可以卖了）。
【十般全】	seik21 booung55 juong53	十全十美。
【十行纸】	seik33 houng33 jai33	十行笺，每张可写十行字的通用信笺。
【十番】	seik5 huang55	福州地区的民间音乐合奏，所用乐器有鼓、钹锣和弦管乐器。演奏地方小调或戏剧音乐。清代乾嘉年间即已流行。又称为[十番伬]。
【十番伬】	sei21 huang55 jie55	同[十番]。
【十二月天】	seik21 ni21 nguok5 tieng55	农历十二月的天气，泛指寒冬季节。
【十做】	seik21 zoo213	有绝对的把握干成功▷者事～其快接过来（这事有绝对的把握干成功，快接过来）。
【十绝】	seik5 zuok5	非常吝啬▷者侬～其（这人非常吝啬）。
【十绝哥】	seik21 zuok5 go55	非常吝啬的人，吝啬鬼。
【生】	seing55	①（动物）死亡〈讳〉▷鸡～去（鸡死了）。②用于指人死，含贬义。
【{辰候,前后}】	seing21 ngau242	时候▷{什乇,世乇}～（什么时候）|“文革”～（“文革”的时候）。
【前帮】	seing55 moung55	上一次，前一回。
【前房】	seing55 mung53	①福州地区较大的木结构平房，主房正中是厅，左右是主卧室。常以屏风隔成前大后小的两部分；大厅隔成前厅、后厅，卧室则用假墙隔为前房、后房。②前妻。
【前斗】	seing33 nau33	前面，前头。
【前向】	seing21 ngyong213	前面。
【前厅】	seing33 niang55	参见[前房]。
【前落】	seing55 noh5	福州旧式大宅院常由两列或更多的主房建筑组成，各列被天井隔开；每一列称为一“落”。靠近大门的是前落。
【前侬】	seing33 ngeoyng33 ngiang33	前妻所生的儿女。也说[前婆囝seing31mo31iang31]
【㾪】	seing33	（肉）瘦▷爱食～肉{固,故}是肥肉（爱吃瘦肉还是肥肉）？
【信】	seing213	①鞭炮等的引信。②火药▷黄其～比乌其～厉害（黄色火药的爆炸力比黑色火药大）。
【搜】	seu55	掺水调匀心面粉着～囇做馍（面粉要用水调匀后才能做馒头）。
【搜心擘腹】	seu55 ling55 ba53 bouk24	绞尽脑汁▷伊～卜得许注钱（他绞尽脑汁要取得那笔款项）。
【搜寻挖空】	seu21 ling21 uak5 kooyng213	费尽心机▷伊～去谋只隻诸娘囝（他费尽心机去追求这个女孩子）。
【稠】	seu53	①经常▷野～转厝（很常回家）|～～有来（常常来）②均匀▷调～仂囝（调得均匀点）
【稠长】	seu21 loung53	均匀。
【擞】	seu33	抽打▷使竹批～（用竹条抽打）。
【𰇵】	seo53	①倾倒，倒▷蜀盆水趁楼顶～下来（一盆水从楼上倾倒下来）。②骗售劣货▷今旦买菜乞侬～去，买蜀条鱼是蔫其（今天买菜被人坑了，买了条臭鱼）
【𰇵𰇵泻】	seo24 leo21 lia213	严重的腹泻。
【𪘽】	seo53	上排牙齿向外斜出▷伊牙做～～野惊侬（他上排牙齿向外斜出，好难看）。
【衰】	seoy55	赌运不佳▷今旦野～，输野価（今天赌运不佳，输了很多）。
【衰旺】	seoy53 uong242	赌博的手气；旺：手气好▷今旦～怎其（今天手气如何）？
【𤸬】	seoy55	瘦▷汝最近～去（你近来瘦了）|许侬～～鸟鸟势（那个人瘦瘦黑黑的）|～猪拉硬屎〈俗〉（瘦猪拉硬屎，谓条件不好仍竭力而为）。
【𤸬揭骨】	seoy53 giak21 goouk24	瘦的样子▷者伲图～，肯定有病（这孩非常瘦，肯定有病）。也说[𤸬揭鬼]。
【𤸬揭鬼】	seoy53 giak21 gui33	同[𤸬揭骨]。
【坐床】	seoy55 joung53	坐帐，传统婚礼习俗的一种仪式，要求新郎新娘并坐在婚床上接受祝贺。
【坐底】	seoy53 le33	煮粥时米粒粘在锅底而烧糊了。
【坐桌】	seoy53 looh24	入席▷菜上了，快去～（菜都上来了，请快入席）。
【坐殿】	seoü53laing243	老呆在一个地方不出去走动▷别侬去街就汝蜀隻侬～（别人都上街去了就你一人呆着不动）。
【坐殿将军】	seoy53 laing242 zuong55 ngung55	老在一个地方守着不出门的人。
【视】	seoy242	理睬▷毛～伊（不理他）。
【宿】	seoyk24	①成熟▷只粒西瓜{固,故}未～（这个西瓜还没熟）②搁置使之成熟▷芭蕉果{固,故}着～两日乍会食其（香蕉还得搁两天才能吃）。③搁置，闲置▷货都～仓库𠲥卖{𫧃,儥}出（货物都积在仓库里卖不出去）④面容老相▷伊看𠲥真～，其实岁数{𫧃,儥}大（他看外表较老相，其实年龄还不大）⑤因捂得时间长了，产生不新鲜的味道▷臭～（臭霉味）
【䟉】	seoyk5	①剧烈的晃动，颠簸▷我会眩车，车蜀～我就眩去（我会晕车，车一颠我就晕了）。②折磨，折腾▷～过来，～过去（折腾来，折腾去）。
【摔啪】	seoyk5 piak24	用纸折成块状的儿童玩具，游戏者互相在地上摔拍，被别人拍翻了面儿就是输家。
【双操】	seoyng55 co55	（得）双份儿▷蜀侬都{俪,㑚}蜀份，汝怎讲会食～（每人都只有一份儿，为什么你吃双份儿）?
【双目墘】	seoyng55 meoyk5 gieng53	双眼皮儿。也说[双重墘]。
【双生】	seoyng55 nang55	孪生。
【双生囝】	seoyng21 nang53 ngiang33	双胞胎，孪生子。
【双重墘】	seoyng55 nung55 ngieng53	同[双目墘]。
【𢱤】	seoyng33	推，搡▷伊～我蜀下（他推了我一下）|{只,这}{般,满}重～，门～呆去（搡得这么重，门给搡坏了）。
【颂】	seoyng242	穿（衣）▷～羊毛𬡨（穿毛衣）|～裙（穿裙子）。
【时行】	si55 iang53	时兴，时髦，流行▷今年暝～颂短裤（今年时兴穿短裤）|只种样式已经{𫧃,儥}～去了（这种式样已经过时了）。也说[时新]si31ling44
【时荐】	si21 jaing213	时运，时机，机遇▷我～拄{𫧃,儥}着，命{俪,㑚}{总款,这样款}（我没遇上好时运，命该如此）。
【时辰】	si55 ling53	①生辰▷～八字（生辰八字）②命运▷我无怪别侬，{俪,㑚}怪自家～生{𫧃,儥}好（我不怪别人，只怪自己命不好）。③死辰，死期▷䁐～（守着将死的人，以记录死亡时间）|汝{只,这}{般,满}急做{什乇,世乇}，赶～啦（你这么急是为什么?赶着去死吗）?
【时道】	si21 loo242	时运，运气▷汝有～我无～（你运气好我时运不利）。
【𬖞】	si53	糍巴，用煮熟的糯米粉丸子粘糖和豆粉吃。福州风俗在冬至这一天家家都要做着吃，以图吉利。
【𬖞⿰米齐粿腻】	si55 je55 gui55 neoy213	各种用米制成的糕点的总称。
【𬖞粿店】	si21 ui55 laing213	专营各种地方风味小吃的小餐馆，主要在早餐时营业。
【死囝】	si24 iang33	①死婴。②詈语，一般用于诟骂年轻的晚辈，类似北方话“混蛋”、“孬种”。
【死囝杖】	si21 iang55 nuong242	哭丧棒〈贬〉。
【死主】	si24 juo33	死帐的帐户▷汝碰着{总款,这样款}～有{什乇,世乇}办法（你遇到这样的死帐，又有什么办法）。
【死{墿,路}边倒坪角】	si21 luo55 wieng55 do21 luo53 ooyk24	死无葬身之地〈詈〉▷汝只呆，明旦～（你这么坏，总有一天死无葬身之地）。
【死搭搭】	si21 lak5 tak24	厄运无可逃避▷天年好，农民～（年成好，农民最遭殃）。
【死色】	si55 laik24	颜色不鲜明，不艳丽。
【死{墿,路}】	si55 luo242	死路。
【死命】	si55 miang242	拼命，拼老命。
【死无侬】	si21 mo55 neoyng53	死绝，死光〈詈〉▷汝厝～啦，蒋讲告只䀪都无侬应（怎么叫了老半天都没人答应，你家人都死绝了吗）？
【死侬】	si21 neoyng53	①死人，尸体。②骂人该知道而不知道，该感觉到而没感觉〈詈〉▷汝正是～，者事计逢侬都会{八,仈}汝{固,故}{𫧃,儥}{八,仈}（你真是的，这事儿人人都晓得而你还不晓得）。
【死侬面】	si55 neoyng21 meing213	①死人般的无血色面容。②不友善的冷淡表情态度〈詈〉。
【死侬房】	si24 neoyng33 mung53	太平间。
【死侬骹尾】	si21neoüng21nga53mui	僻远的地方▷伊厝住～行{𫧃,儥}遘（他家住偏远的地方，去不了）
【死侬歇】	si55 neoyng21 ngooung242	骂人极蠢，类似北方话“蠢货”〈詈〉。
【死硬】	si55 ngiang242	固执地，硬是▷伊～{𫧃,儥}肯去（他硬是不肯去）。
【死倪倪】	si21 ngeh5 ngeh5	①非常死板，没有一点儿灵活性▷者侬～，仂囝都{𫧃,儥}灵动（这人非常死板，一点儿灵活劲儿也没有）。②死气沉沉，了无生气▷者公司今年暝～，都无生意（这家公司今年死气沉沉，什么生意都没有）。
【死话】	si55 ua242	①说关于死亡的话▷侬故未死先讲～（人还未死先讲关于死亡的话）。②不中听的话〈詈〉▷汝讲～，我伓听（你说不中听的话，我不听）。
【死货】	si55 uo213	①卖不出的货物▷嚽是～无侬挃（这是卖不出的货物，没人要）。②同[死脚]。
【死脚】	si55 yok24	不灵活、死板的人（贬〉▷伊是～，告伊做{总款,这样款}事计会背（他是死板的人，让他做这样的事肯定你会倒霉）。
【四个眼】	si21 a24 ngang33	戴眼镜者，泛指近视眼的人▷伊～会看见（他带近视眼镜怎能看见）？
【四合】	si53 ak24	四块板的棺材。
【四角桌】	si21 eoyk5 dooh24	方桌。
【四角帐】	si21 eoyk5 duong213	方形蚊帐。
【四角】	si53 gouk24	①四方，方形▷只块地是～其（这块地是旧方形的）。②（性格）不马虎，不随便▷伊做事计真～（他办事一丝不苟）。③刻板，不随和▷伊做侬恰～，共侬佮{𫧃,儥}来（他为人太刻板，与人家合不来）。也说[四角十六斛]。
【四色】	si53 laik24	一种组牌，分为红、黄、白、绿四种颜色。各色部有将、士、相、车、马、炮、兵等，有各种玩法，常作为赌具。
【四角十六斛】	si53 ooyk24 seik21 leoyk5 heoyk5	同[四角]②，〈贬〉
【四势】	si53 sie213	四处，到处▷乇无放～，卜挃复无处讨（东西别到处乱放，要的时候没地方找）。
【四方向】	si21 uong53 ngyong213	四面八方▷兵由～包过来（士兵由四面八方包抄过来）
【塞牙齿缝】	sik21 ngai55 poung213	夸张形容食物很少▷十把𠛒侬食饭，蜀头鸡{固,故}无遘～的（十几个人吃饭，一只鸡还不够填牙缝的）。
【翼】	sik5	翅膀，也说[翼翼]sik31sik5。
【赊数】	sia53 lou213	赊帐。
【泻力】	sia55 lik5	劳累。
【谢借】	sia53 juok24	在归还所借物时向物主道谢用语。
【泄】	siak24	流（大汗）▷天气野热，风扇蜀停，身𠲥汗就～出来（天气很热，风扇一停就冒出浑身大汗）
【声腔】	siang53 keoyng33	①嗓门▷伊～真大（他是大嗓门）。②说话的语气、音量等给人留下的印象▷伊其～真伓好听（他说话的调门很生硬）。
【成堆山】	siang21 neoy55 lang55	同[堆山]
【成花】	siang33 ngua55	成功，办成▷只件事计～去了（这件事成功了）。
【成数】	siang21 nou213	可能性▷汝看只件事计{固,故}有无～（你看这件事还有没有成功的可能性）|～大（可能性不大）。
【圣】	siang213	（菩萨）灵验▷野～（很灵验）
【施】	sie55	洒落▷米～蜀地兜（米洒满地）。
【匙】	sie53	钥匙。
【斜】	sie53	缓慢地移动▷日头～裡来了（阳光慢慢地移进来了）|我骹无力，{俪,㑚}有能奈着房裡～几步（我的脚无力，只能在屋里拖着走几步）。
【势况】	sie53 uong213	情况，情势，势头▷～{𫧃,儥}好（情况不妙）|～好（好势头）。
【{什乇,世乇}】	sie53 nooh24	什么▷嚽是～（这是什么）|～侬胆{只,这}{般,满}大（什么人胆子这么大）|～都{𫧃,儥}食（什么也不吃）|～都{𫧃,儥}{八,仈}（什么都不懂）。
【{什乇,世乇}{辰候,前后}】	sie21 no53 leing21 ngau242	什么时候，何时。
【{什乇,世乇}形款】	sie21 no53 hing33 kuang33	什么样子，什么形状（贬）。也说[{什乇,世乇}形骸]sie21no53hing21ngai242。
【{什乇,世乇}式】	sie21 no53 leik24	什么样子。也说[{什乇,世乇}样式]sie21no21üong53neik23。
【{什乇,世乇}名】	sie21 no55 miang53	什么东西▷是～（那是什么东西）|伊～都挃（他什么东西都要）。
【{什乇,世乇}名堂】	sie21 no55 miang55 noung53	什么名堂▷昨日伊无来，着厝𠲥做～也{𫧃,儥}{八,仈}（前天他没来，在家里搞什么名堂也不知道）。
【{什乇,世乇}款】	sie21 no53 uang33	什么样子▷侬生～（人长得什么样）|～其侬乍有得（什么样的人才能进去）▷～其乇都有（什么样的东西都有）。也说（{什乇,世乇}样的东西都有）。也说[{什乇,世乇}款式]sie21no21uang44neik23。
【世】	sie213	接续▷食薰蜀条～蜀条（抽烟一支接一支）|索无够长，两条～蜀堆（绳子不够长，两根接在一起）|～落讲（接下去说）。
【世事】	sie53 leoy242	①人情世故▷后生囝伓{八,仈}～（年轻人不懂人情世故）。②婚姻大事▷30岁了～{固,故}未做（30岁了还没结婚）。
【泄】	sie53	（大小便）失禁▷尿～身𠲥（尿湿了衣裳）。
【泄尿】	sie53 niu242	①小便失禁，尿床。②喻指食言，没能履行诺言▷伊者侬其话{𫧃,儥}听其，都是～其（他这人的话听不得，说了都不能兑现）。③喻指事情泡汤，不能成功了▷只件事计复～去了（这件事又泡汤了）。
【薛刚】	siek21 goung55	①戏曲人物，薛丁山之子，顽皮，好恶作剧并因此祸及父母。②顽皮，恶作剧而招惹是非▷汝复来～（你又作剧了）|只隻伲囝真～（这个孩子很爱恶作剧）
【屑】	siek24	①用刨子削皮▷菜瓜皮着～囇（黄瓜的皮要削一削）。②磨（刀刃）。
【卌】	siek24	四的合音，用以构成从41到49的自然数▷～一（四十一）|～二（四十二）|～七（四十七）。
【舌囝】	siek33 giang33	①小舌。②帽舌。③鞋面上的舌儿。
【食】	siek5	①吃，进食▷～饭（吃饭）|～碎乇（吃零食）。②饮、喝▷～开水（喝开水）|～茶（喝茶）。③吸入▷～薰（吸烟）|尘（吸入灰尘）。
【食便】	siek21 bieng242	吃现成▷别侬做好好，伊来～（别人都弄好了，他来吃现成的）。
【食菜】	sie21 cai213	吃素，素食。
【食昼】	siek21 dau213	吃午饭。
【食长斋】	siek21 doung55 je55	佛教徒奉戒长期吃素，相对于[食花斋]而言。
【食会燋】	sie55 e55 da55	吃得消。▷做{总款,这样款}工，伊～，我食{𫧃,儥}燋（干这种活儿，他吃得消，我吃不消）。
【食花斋】	sie21 hua55 je55	修佛者有规律地在某些日子吃素。
【食热】	sie33 iek5	①妒嫉，眼红▷伊看见别人趁钱就～（他见到别人赚了钱就妒嫉）。②第三者介入纠纷，为纠纷的一方抱不平〈贬〉▷我自家兄弟哥其事计，使汝来～（我自家兄弟间的事，用不着你来多管闲事）。
【食气】	sie21 kei213	赌气▷其实共几块钱无干过，伊{俪,㑚}是～（其实问题不在于几块钱，她只是赌气罢了）。
【食拉睏】	siek5 na53 kooung213	日常起居的统称，相当于普通话说的“吃喝拉撒睡”▷～都着只间房裡𠲥（吃喝拉撒睡全在这一间屋里）。
【食打】	sie33 la33	①饮食▷伊真讲究～（他很讲究饮食）②食量，胃口▷伊睏{𫧃,儥}好，～{固,故}无呆（他睡眠不佳，但食量还不错）。
【食力】	sie55 lik5	①吃力，费劲▷教伊读书真～（教他读书很费劲）②使得上劲儿，得劲▷只把铁锤囝恰嫩，{𫧃,儥}～（这把锤子太吃小，使不上劲儿）。
【食食】	sie55 liek5	泛指饮食，伙食▷～清楚侬会病（食不周人容易得病）|伊厝～无呆（他家日常伙食不错）。
【食麻笋干】	sie21 ma21 lung21 ngang55	喻指挨滕条，细竹之类的鞭打▷介无定，今晡吼汝～（再不老实，今晚让你尝尝鞭子）。
【食暝】	sie5 mang53	吃晚饭。
【食{𫧃,儥}燋】	sie21 me55 la55	吃不消▷蜀日遘暗缠绊，实在～（一天到晚纠缠不休，实在吃不消）。
【食尾顿】	sie21 mui55 looung213	①指死囚临刑前吃最后一餐饭。②骂人只顾吃，不要命（詈）。
【食屎】	sie33 sai33	喻指人无用，无能▷伊正～其，只仂囝事计都做{𫧃,儥}来（他真没用，这么一点小事也办不来）。
【食色】	sie21 saik24	染料渗入被染的物品▷光面其纸{𫧃,儥}～（光面的纸染不上色）。
【食使颂】	sie21 sai55 seoyng242	日常生活开支的总称▷～蜀月使～使百上块（吃穿用等项开支合起来每个月是否需要百来元）?
【食私】	siek33 sy55	受贿▷伊～卫汝（他受贿袒护你）
【食拔血】	sie21 weik5 haik24	吸人家的血，喻剥削榨取别人的行为。
【食早】	sie33 za33	吃早饭。
【食酒】	siek33 ziu33	①喝酒。②赴宴▷伊蜀厝都去乡下～（他一家人都到乡下去赴宴）。
【折】	siek5	折本，亏本▷上月～啊趁（上个月折本还是赚钱）？
【仙】	sieng55	神仙，仙人。
【仙爷】	sieng55 ngie53	对神仙的敬畏之称。
【蝉】	sieng53	一种黑花的大蝴蝶。
【盐硝】	sieng33 niu55	硝盐，含盐分多的物品析出的盐的晶体▷咸菜{𫷾,撄}两日会生～（咸菜搁两天会有盐粒析出）。
【盐汤】	sieng33 noung55	盐开水。
【盐】	sieng213	①用盐腌，盐渍▷～咸菜（腌咸菜）②投入（资金、精力、时间等）▷伊长仂囝其钱都～许间店𠲥去（他剩的一点儿钱都投入到那店铺中去了）。“盐”作为名词读阳平“sieng53”。
【盐菜】	sieng53 jai213	盐渍的蔬菜。
【扇帐】	sieng53 nuong213	一种活动的蚊帐，以竹子为支架，可以张开或摺合。
【善】	sieng242	①善良▷心～（心地很善良）。②（动物）驯服▷只头犬真～，{𫧃,儥}咬侬（这狗很驯良，不咬人）。
【新妇】	sing53 mou242	儿媳妇▷大家～{𫧃,儥}和（婆媳不和）
【新妇团】	sing21 mu53 iang33	童养媳。
【新人】	sing55 nging53	新娘。
【新人房】	sing55 nging55 mung53	新娘房，洞房。
【新人伴】	sing53 nging21 puang242	婚礼上的伴娘，女傧相。
【新开店】	sing21 ngui53 laing213	新开张的店铺。
【新郎婿】	sing53 noung21 nai213	新郎。也说[新郎官sing44noung44nguang44]
【新郎伴】	sing53 noung21 puang242	婚礼上的伴郎，男傧相。
【星搬厝】	sing21 muang53 juo213	流星。
【先生】	sing55 nang55	①对知识分子的称呼。②特指教师▷算学～（数学老师）。③特指医生▷看～（看病）请～（请医生出诊）。④对说书、算命、看风水等职业者的尊称▷评话～（说书艺人）|看命～（算命先生）。
【先生姆】	sing21 nang53 mu33	先生的妻子、师母。
【先生娘】	sing21 nang55 nuong53	先生的妻子。
【先生囝】	sing21 nang53 ngiang33	教师的子女。
【心行】	sing53 ngiang242	心术，心地品行。常用于贬义▷伊～真毒（他心地很毒）。
【心肝】	sing55 ngang55	①心脏▷～真喫亏（心脏很难受）②思想感情的器官，同普通话的“心”▷～真呆（心肠很坏）|～真贪（很贪心）|～真窄（胸怀狭隘）|～野大（雄心勃勃）|～疼（心疼惋惜）|～生𩩍𠲥〈熟〉（谓没有良心）。③胸口▷～搭搭，伓惊菩萨〈俗〉（胸口拍一拍，不怕菩萨）。④对婴儿、幼儿的昵称▷依命，～，真乖（宝贝，心肝儿，真乖）。
【心肝反】	sing55 ngang55 biang213	横下心，下狠心▷～去共伊做（下狠心跟他斗）！
【心肝头】	sing21 ngang55 nau53	胸口。
【心肝前】	sing21 ngang55 neing53	胸前▷～搭蜀菩花（胸前别着一朵花）。
【辛苦病疼】	sing21 ngu21 wang53 niang213	病痛。▷囝孙着身边，～也有人照顾儿孙在身边，生病也有人照顾）。
=============PAGESTART=271,PAGEEND=280
【神】	sing53	①趣味▷有～（有趣）|无～（没趣）。②精神▷今旦无～做{𫧃,儥}清楚（今天没精神搞不好）。
【神粬】	sing21 (sieng21) keoyk24	一种传统的药茶，性温和，有消食去积的功效。
【神妈】	sing33 ma33	巫婆，女神棍▷～，～，半真半假〈谚〉。
【承】	sing53 nak24	承接▷掏罗盆～雨（拿脸盆盛雨水）。
【承搭】	sing53 nak24	责任▷替侬看伲囝～真重（替人照看孩子责任很大）。
【承行】	sing53 nak24	经纪人，掮客。
【檐墘】	sing33 ngieng53	屋檐。也说[檐墘头]sing44ngieng44nau53。
【檐墘下】	sing21 ngieng21 nga242	屋檐下。
【寻】	sing	找寻，寻求▷现眼时地方真好～（现今职业好找）|去～蜀隻奶妈来豢（去找一个奶娘来喂养）。
【寻事】	sing21seoy242	生事，生是非▷蜀日无乇做，屈厝𠲥（整天儿没事干，在家里生是非）。
【寻仇】	sing55 siu53 (kiu53)	寻衅。
【鲟】	sing53	海蟹的一种，体呈椭圆形，壳无尖角，比梭子蟹质优价高，俗作滋补食品。
【鲟膏】	sing33 go55	蟹黄。
【鲟骹】	sing33 ka55	蟹的脚。
【鲟饭】	sing21 muong242	一种风味饭食，用“鲟”的肉和蟹黄拌米蒸成的咸饭。
【箫】	siu55	笛子和箫的统称。
【烧热】	siu55 iek5	发热（指体温升高）。也说[烧]siu44、[热]iek5。
【收纲】	siu55 goung55	裤腰，布袋口上穿绳收紧。
【泅】	siu53	游（水）▷～水（游泳）|鱼会～（鱼会游水）|无船无桥，{俪,㑚}长𠲥～过（没船没桥，只有泅渡了）。
【泅水】	siu33 zui33	游泳。
【小家法】	siu21 a53 uak24	小家庭。家庭开销小。
【小䙎】	siu21 e55	传统汉装的小襟。
【小工】	siu21 eoyng55	干粗活的零工，短工▷有师傅无小工（有了师傅缺帮工）|去做～蜀日会趁偌夥（去打零工一天能挣多少）?
【小水】	siu24 jui33	小便〈讳〉▷小水{𫧃,儥}利（小便不通畅）。
